,Course Number,A+,A,A-,B+,B,B-,C+,C,C-,DFW
0,AAS 1010,43,391,241,93,42,20,5,8,2,25
1,AAS 1020,141,455,120,48,23,4,4,5,1,5
2,AAS 2224,0,160,90,36,21,7,8,2,3,11
3,AAS 2263,6,22,0,0,0,0,0,0,0,0
4,AAS 2500,51,216,100,45,38,19,13,8,5,17
5,AAS 2559,18,114,31,20,5,9,0,0,3,4
6,AAS 2657,18,12,7,3,0,0,1,0,0,0
7,AAS 2740,0,5,4,1,1,1,2,1,0,1
8,AAS 2760,0,8,2,1,0,0,0,0,0,0
9,AAS 3157,7,4,1,0,1,0,0,0,0,0
10,AAS 3200,0,4,0,3,5,1,1,1,0,0
11,AAS 3300,0,19,6,3,2,1,3,1,0,7
12,AAS 3500,33,200,118,36,19,9,2,9,3,4
13,AAS 3559,0,12,5,2,1,1,0,1,1,1
14,AAS 3645,2,2,0,1,0,2,0,0,0,3
15,AAS 3652,0,5,9,0,1,1,0,0,0,0
16,AAS 3671,0,7,13,2,1,1,1,0,0,3
17,AAS 3710,0,24,10,2,3,0,0,1,1,0
18,AAS 3760,5,7,2,1,0,0,0,0,0,0
19,AAS 3810,1,49,18,7,8,3,0,1,0,5
20,AAS 3853,3,177,80,13,10,6,2,2,2,6
21,AAS 4570,13,5,8,1,2,2,2,2,1,2
22,AAS 4725,0,7,2,1,2,1,0,0,0,1
23,AAS 7000,1,6,5,0,0,0,0,0,0,0
24,ACCT 2010,14,47,14,9,21,4,2,6,1,12
25,ACCT 2020,11,34,14,7,4,0,0,0,0,3
26,ACCT 3010,13,67,20,11,9,3,1,0,0,8
27,ACCT 3020,12,81,28,15,10,3,1,2,0,0
28,ACCT 3110,12,47,8,3,6,1,1,2,0,2
29,ACCT 3120,2,5,0,1,11,0,1,2,0,0
30,ACCT 3140,7,8,7,4,3,0,0,0,0,2
31,ACCT 4450,14,14,3,2,5,0,0,1,0,2
32,ACCT 5110,8,84,32,10,8,3,0,2,0,3
33,ACCT 5120,1,68,25,15,6,9,1,0,0,2
34,ACCT 5140,4,33,25,9,10,5,2,1,0,1
35,ACCT 5200,0,35,11,0,2,1,0,0,0,0
36,ACCT 5210,5,40,62,30,30,12,7,2,3,0
37,ACCT 5250,1,10,11,2,4,0,1,0,0,1
38,ACCT 5310,2,12,4,0,0,0,0,0,0,1
39,ACCT 5330,0,18,7,6,0,1,0,1,0,0
40,ACCT 5410,0,11,9,4,0,0,0,0,0,0
41,ACCT 5450,30,52,12,7,3,1,0,0,0,1
42,ACCT 5460,30,42,23,6,4,1,1,1,1,1
43,ACCT 5470,4,23,25,9,2,4,2,1,0,0
44,ACCT 5480,1,16,12,1,0,1,0,1,1,1
45,ACCT 5490,0,7,1,1,0,1,0,0,0,0
46,ACCT 5700,12,9,1,1,0,0,0,0,0,0
47,ACCT 5710,9,24,7,0,0,0,0,0,0,0
