,Class Academic Group,Course GPA,Course Number
0,CGAS,4.0,AAS 2263
1,ARCH,3.614285714285715,ARCH 3500
2,ARCH,3.738461538461539,ARH 3500
3,CGAS,3.98235294117647,ARTH 3153
4,CGAS,3.707142857142858,ARTH 3255
5,CGAS,3.960000000000001,ARTH 3545
6,CGAS,3.818181818181817,ARTS 2560
7,CGAS,3.95,BIOL 4585
8,COMM,3.850000000000001,COMM 4569
9,COMM,3.724,COMM 4579
10,CGAS,3.921739130434783,ENGL 3990
11,CGAS,4.0,ENWR 3559
12,CGAS,3.885714285714286,EVSC 2850
13,CGAS,3.9375,GSGS 3530
14,CGAS,3.770588235294118,GSVS 4810
15,CGAS,4.0,HIEU 3712
16,CGAS,3.891304347826087,HIST 2013
17,CGAS,3.792307692307693,HIST 4591
18,SCPS,3.915789473684211,ISHU 3183
19,SCPS,3.780952380952381,ISSS 4432
20,LAW,3.66,LAW 7501
21,LAW,3.66,LAW 7501
22,LAW,3.578571428571429,LAW 7645
23,LAW,3.509523809523809,LAW 7692
24,LAW,3.509523809523809,LAW 7692
25,LAW,3.509523809523809,LAW 7692
26,LAW,3.466666666666666,LAW 7706
27,LAW,3.466666666666666,LAW 7706
28,LAW,3.5,LAW 7797
29,LAW,3.5,LAW 7797
30,LEAD,3.957142857142858,LPPP 3500
31,CGAS,3.972727272727273,MDST 2508
32,CGAS,3.814814814814815,MDST 2710
33,CGAS,3.468181818181818,PHYS 1130
34,CGAS,3.764864864864865,PLAP 3160
35,CGAS,3.805882352941176,PLAP 3420
36,CGAS,3.75,PSYC 2150
37,CGAS,3.966666666666665,PSYC 2500
38,CGAS,3.900000000000001,PSYC 3210
39,CGAS,3.538461538461539,PSYC 4100
40,CGAS,3.835714285714285,PSYC 4260
41,CGAS,3.941666666666666,PSYC 4350
42,CGAS,3.914285714285714,PSYC 4500
43,CGAS,4.0,RELB 2100
44,CGAS,3.777941176470588,SLAV 2360
45,CGAS,3.744444444444445,SOC 3260
46,CGAS,3.433333333333334,SPAN 2010
47,CGAS,3.886666666666668,STAT 1601
48,CGAS,3.55,STAT 1601
49,CGAS,3.839130434782609,STAT 3220
50,ENGR,4.0,STS 2500
51,CGAS,3.706395348837208,AAS 1010
52,CGAS,3.0,AAS 2500
53,CGAS,3.790909090909091,AAS 2500
54,CGAS,3.409999999999999,AAS 2500
