,Year,Tuition
0,2023,71463
1,2022,68850
2,2021,65720
3,2020,64881
4,2019,62093
5,2018,60319
6,2017,57980
7,2016,56154
8,2015,53714
9,2014,50130
10,2013,47452
11,2012,44574
12,2011,42802
13,2010,38986
14,2009,36550
15,2008,34324
16,2007,32271
17,2006,30182
18,2005,27948
19,2004,26303
20,2003,25138
21,2002,22622
22,2001,20124
23,2000,19341
24,1999,18565
25,1998,18612
26,1997,17908
27,1996,17366
28,1995,16972
29,1994,15936
30,1993,15136
31,1992,13364
32,1991,11690
33,1990,9910
34,1989,8660
35,1988,7770
36,1987,7112
37,1986,6722
38,1985,5970
39,1984,5250
40,1983,4484
41,1982,3778
42,1981,3000
43,1980,2690
44,1979,2355
45,1978,2225
46,1977,2145
47,1976,1995
48,1975,1755
49,1974,1755
50,1973,1655
51,1972,1605
52,1971,1405
53,1970,1245
